,Respondent,Timestamp,Anger,Contempt,Disgust,Fear,Joy,Sadness,Surprise,Engagement,Valence,Sentimentality,Confusion,Neutral,Attention,Brow Furrow,Brow Raise,Cheek Raise,Chin Raise,Dimpler,Eye Closure,Eye Widen,Inner Brow Raise,Jaw Drop,Lip Corner Depressor,Lip Press,Lip Pucker,Lip Stretch,Lip Suck,Lid Tighten,Mouth Open,Nose Wrinkle,Smile,Smirk,Upper Lip Raise,Blink,BlinkRate,Pitch,Yaw,Roll,Gaze Velocity,Gaze Acceleration,Fixation Duration,Fixation Dispersion,Saccade Duration,Saccade Amplitude,Saccade Peak Velocity,Saccade Peak Acceleration,Saccade Peak Deceleration,Saccade Direction
308,6,01/01/1970 0:08,13.10101795,3.048753334,0.160542826,1.271208313,0.029144219,9.778839153,0.627765777,65.6340685,-29.86455677,1.1849198,21.825495,66.37854086,80.49178308,47.81607793,0.058513934,0.390000646,22.48302808,18.50173311,0.556502413,0.145460478,0.158800475,23.25204019,15.15947701,27.97149031,9.134485338,13.80999559,42.24113828,18.27140968,13.40330284,1.453681027,1.077520175,3.011191622,1.955938396,0.003282276,5.81619256,-13.7200693,2.136608628,-2.892264146,,,,,,,,,,
309,6,01/01/1970 0:09,25.47151414,2.631024602,1.193852731,3.804969939,1.819753065,5.402681038,0.326156038,76.58214588,-26.2953099,3.701022953,18.92431451,58.47540293,93.74808026,59.7863269,0.080306399,0.870412911,14.00763982,5.029565914,1.720242437,0.07019212,0.015997396,18.78274999,5.788270668,8.423417164,3.044220171,5.124372692,21.22057285,20.82681451,49.9382894,4.989265155,3.857815633,3.427690749,3.086214423,0.003278689,6.150819672,-14.44254664,-4.945190007,-1.092194641,,,,,,,,,,
310,6,01/01/1970 0:09,25.52267033,4.312534368,0.493139169,3.945257224,0.026571576,4.299747057,0.228327657,76.71429964,-29.17197207,0.377206323,15.59787211,60.34046073,89.80438219,74.71368734,0.064731262,0.471513703,0.17072726,2.021398385,0.293815448,0.245594643,0.010784876,14.20675385,0.001390137,0.711432259,9.182751376,1.333229495,0.230953637,23.112874,58.05095373,3.075509584,0.468910477,3.059208623,1.598951208,0.001094092,1.995623632,-10.84952558,0.815901997,-1.974012916,,,,,,,,,,
311,6,01/01/1970 0:10,0.978525042,0.339343433,0.189535172,2.744671925,0.063451992,0.388474009,4.343050103,25.669598,-1.586393776,0.954601605,2.475067038,91.20363545,90.55525022,10.59024543,9.542748576,1.151525237,1.435616453,6.285230314,0.110113006,0.167956204,1.526624583,18.49410252,0.689343239,2.084187897,5.52736604,2.766240798,0.152939248,1.395622978,34.21281632,0.609776828,1.711986415,1.165705868,1.378305916,0.001094092,1.995623632,-11.11705386,1.040951154,-3.832584601,,,,,,,,,,
312,6,01/01/1970 0:10,7.000639884,1.649318884,0.186377097,1.307660169,0.028703638,14.3114148,0.353888732,56.36359498,-33.79842706,0.240815042,6.118522934,73.0536609,94.57171814,69.80198266,0.082051026,0.692764654,11.27828881,2.480428133,1.110878731,0.352699049,0.00640792,12.96142546,10.06121002,0.912137799,3.991944637,0.490976609,18.99685396,9.815585722,11.60347927,1.873544228,0.501850486,0.760229011,2.371416313,0.003282276,2.809628009,-18.04371528,-1.895144765,-0.219469092,,,,,,,,,,
313,6,01/01/1970 0:11,0.671307064,0.258401323,1.468835971,0.411442191,0.646660443,0.108333007,0.205787888,22.56362677,3.148290628,1.621914384,1.168055683,95.85753869,98.18307687,1.654922016,0.068210068,1.101671014,0.960317509,6.257571638,1.153030119,0.885702461,0.02071997,16.12898683,0.010709542,0.765915694,0.985341922,3.930798861,1.058179168,2.915449825,60.4791563,4.37424901,7.163937744,4.014979849,6.098518617,0.00547046,12.26914661,-11.49361503,-1.780241953,2.273116909,,,,,,,,,,
314,6,01/01/1970 0:11,0.887782938,2.222294721,1.012092202,0.466426243,1.16577421,0.143921343,0.40078448,27.08981852,4.025921486,4.526011672,1.583953711,91.88781585,91.22310865,3.185777574,0.731555626,2.71193488,4.095158391,9.758652533,0.673776586,2.826007811,0.153612468,21.87516615,0.208420612,4.303255379,3.22048929,10.52372153,5.93956641,2.211328419,46.55627545,1.477025163,7.430933232,9.193923778,7.153448121,0.004376368,8.868708972,-9.414056884,-4.566716623,0.431656296,,,,,,,,,,
315,6,01/01/1970 0:12,2.089619281,0.326431195,0.477637604,0.80427489,0.032018242,0.528270172,0.189543966,52.55924081,-3.566709203,0.826988755,4.142119241,95.40682819,93.60933008,18.33582372,0.084827898,0.458267676,2.306684394,2.399112733,0.675582266,0.055887575,0.01279622,12.74568546,2.847590029,3.334327592,0.496225161,4.288227494,32.26038151,4.459383289,44.59148299,2.357330013,1.349136189,0.232277684,12.8806999,0.002188184,3.991247265,-24.13325303,-2.748466752,1.438297648,,,,,,,,,,
316,6,01/01/1970 0:12,0.490816637,0.470055749,2.34829307,0.274146653,0.030268942,0.291572229,0.251458099,32.81396482,-1.925336634,1.353039466,2.762857868,80.85249411,73.02580661,10.75185036,0.108667033,0.59380142,5.553205246,1.789265377,0.26590235,0.066046158,0.103811871,10.46075744,2.261433876,1.244594191,1.659270824,5.892546917,31.69846877,1.789444479,17.08394213,2.98851773,1.435776018,2.383834281,7.385306115,0.001094092,0.426695842,-24.86061878,5.831746333,-0.261549989,,,,,,,,,,
317,6,01/01/1970 0:13,0.26489549,0.494680265,0.077709328,0.162419081,11.47293123,0.13406152,0.141140503,16.67521094,9.481110243,6.049854021,0.714064876,87.17366311,82.19509388,2.027416445,0.045584404,8.940897122,8.301338829,0.154518133,1.019975247,0.201676846,0.048005362,5.461474668,0.399083622,6.160038235,3.628558733,11.04417252,22.47905822,3.18251559,12.184843,3.867788978,12.67222329,7.359615792,0.421022595,0.003282276,5.868708972,-35.16691369,12.65114884,-0.202251007,,,,,,,,,,
318,6,01/01/1970 0:13,0.371483746,1.755679149,0.177274673,0.27177612,0.073392183,1.298727115,0.707527558,9.713094892,-1.286444015,2.35940701,3.343846251,93.70737901,83.0922202,3.261550474,3.197238427,1.267578039,9.983423377,8.863538767,2.353518223,0.068227537,0.927357739,22.77004208,10.46853564,3.776772721,10.87183797,1.296345633,8.071011393,1.903844587,17.67668088,2.087677863,4.489823305,5.442436112,2.934336554,0.00547046,11.66520788,-14.64045658,1.744068187,0.100219169,,,,,,,,,,
