,Respondent,Grade,Facial_Expressions,Value
362,14,60.0,Lid Tighten,0.39562549859662666
218,14,60.0,Dimpler,9.701174335639575
442,14,60.0,Blink,0.00912751677852349
378,14,60.0,Nose Wrinkle,0.46409351302360474
138,14,60.0,Confusion,0.6961635667999087
106,14,60.0,Surprise,0.2764689685290958
10,14,60.0,Anger,0.5451294744064188
394,14,60.0,Smile,3.447895279970069
170,14,60.0,Brow Raise,1.2016985848663937
26,14,60.0,Contempt,0.8529229253726629
266,14,60.0,Inner Brow Raise,0.40830388264868944
234,14,60.0,Eye Closure,5.962569389553564
250,14,60.0,Eye Widen,0.29935415677617194
42,14,60.0,Disgust,0.332177524377462
282,14,60.0,Lip Corner Depressor,3.4408752305072943
298,14,60.0,Lip Press,5.444546236007125
43,15,45.0,Disgust,0.2455480863287602
123,15,45.0,Sentimentality,2.7113476259395504
331,15,45.0,Lip Stretch,2.967821119062452
235,15,45.0,Eye Closure,1.8680003974743855
379,15,45.0,Nose Wrinkle,0.5068666637503313
187,15,45.0,Cheek Raise,4.397332665480079
139,15,45.0,Confusion,0.955976594728158
11,15,45.0,Anger,0.573984734081245
283,15,45.0,Lip Corner Depressor,3.9003544440453957
171,15,45.0,Brow Raise,1.6436861451812783
363,15,45.0,Lid Tighten,1.3456972322317815
347,15,45.0,Lip Suck,4.856978962489494
155,15,45.0,Brow Furrow,1.1881314695228955
251,15,45.0,Eye Widen,1.7506822506489832
203,15,45.0,Chin Raise,5.612249110437197
59,15,45.0,Fear,0.9183509720560038
219,15,45.0,Dimpler,3.5852481261129405
267,15,45.0,Inner Brow Raise,0.477279966725723
91,15,45.0,Sadness,0.7625352501897754
299,15,45.0,Lip Press,7.314330217628495
315,15,45.0,Lip Pucker,8.351831546371212
75,15,45.0,Joy,5.470981698146927
107,15,45.0,Surprise,0.9590828957734112
27,15,45.0,Contempt,1.1958062933120637
443,15,45.0,Blink,0.0065478355765733
395,15,45.0,Smile,6.807984798205529
427,15,45.0,Upper Lip Raise,2.0294371015760113
411,15,45.0,Smirk,4.597911216555457
76,16,45.0,Joy,0.4361162103499541
12,16,45.0,Anger,0.8796942693427733
284,16,45.0,Lip Corner Depressor,7.564682708742397
364,16,45.0,Lid Tighten,0.3441294100882713
156,16,45.0,Brow Furrow,1.4051540449978428
412,16,45.0,Smirk,7.065482407733399
252,16,45.0,Eye Widen,3.497695618838525
140,16,45.0,Confusion,1.802977265887481
444,16,45.0,Blink,0.006700571963237403
380,16,45.0,Nose Wrinkle,1.4496451412433673
92,16,45.0,Sadness,2.9201184009942547
108,16,45.0,Surprise,0.7697483049892977
124,16,45.0,Sentimentality,1.2558728532598145
396,16,45.0,Smile,1.488482150851321
60,16,45.0,Fear,0.664866341041848
268,16,45.0,Inner Brow Raise,0.14849225466465588
428,16,45.0,Upper Lip Raise,2.2063325667386335
172,16,45.0,Brow Raise,0.6257268770150435
236,16,45.0,Eye Closure,2.936976357443607
332,16,45.0,Lip Stretch,3.3089688029649467
220,16,45.0,Dimpler,9.665593745774423
28,16,45.0,Contempt,4.119208430031806
348,16,45.0,Lip Suck,10.86940640212264
300,16,45.0,Lip Press,10.34101550063982
316,16,45.0,Lip Pucker,20.054175410232148
44,16,45.0,Disgust,1.212472704692832
204,16,45.0,Chin Raise,17.20260642446354
188,16,45.0,Cheek Raise,1.3657412636185688
125,17,55.0,Sentimentality,1.1881148190203623
333,17,55.0,Lip Stretch,4.947814928531327
445,17,55.0,Blink,0.007376912643076411
189,17,55.0,Cheek Raise,0.6994735244340993
109,17,55.0,Surprise,1.6725781605975951
317,17,55.0,Lip Pucker,0.19120636842644448
397,17,55.0,Smile,1.3586859327284142
253,17,55.0,Eye Widen,6.2956485829657325
93,17,55.0,Sadness,0.5017914895126265
269,17,55.0,Inner Brow Raise,0.14654310864854128
221,17,55.0,Dimpler,4.3479287162263764
413,17,55.0,Smirk,6.882768806377155
45,17,55.0,Disgust,0.2701432749994608
301,17,55.0,Lip Press,5.281346992609602
77,17,55.0,Joy,0.5167355873021781
205,17,55.0,Chin Raise,5.485682461050564
381,17,55.0,Nose Wrinkle,0.11754853528531797
285,17,55.0,Lip Corner Depressor,1.507710637408269
365,17,55.0,Lid Tighten,0.009730161413831175
429,17,55.0,Upper Lip Raise,0.7862616778749585
237,17,55.0,Eye Closure,4.661637831958741
29,17,55.0,Contempt,4.981426509395198
141,17,55.0,Confusion,0.11351380538045368
13,17,55.0,Anger,0.8385074033894107
157,17,55.0,Brow Furrow,0.04397897609645921
61,17,55.0,Fear,0.8852975920682313
349,17,55.0,Lip Suck,6.266008535836493
173,17,55.0,Brow Raise,0.9795099835589363
382,18,85.0,Nose Wrinkle,0.14764669861037125
30,18,85.0,Contempt,0.7373703120500641
302,18,85.0,Lip Press,1.2741415057278536
222,18,85.0,Dimpler,1.2210740651191587
94,18,85.0,Sadness,0.17694674980111846
414,18,85.0,Smirk,1.7070711724971153
446,18,85.0,Blink,0.013686382393397523
158,18,85.0,Brow Furrow,3.7967845306228787
286,18,85.0,Lip Corner Depressor,0.004786001984302468
350,18,85.0,Lip Suck,2.383837102041173
270,18,85.0,Inner Brow Raise,0.7721847236563677
366,18,85.0,Lid Tighten,0.37676936132640937
254,18,85.0,Eye Widen,2.002436031736808
238,18,85.0,Eye Closure,1.3454862408873214
78,18,85.0,Joy,0.216005824363702
126,18,85.0,Sentimentality,0.2581371646209969
142,18,85.0,Confusion,0.997353097448219
190,18,85.0,Cheek Raise,0.4934467382663719
62,18,85.0,Fear,0.5021271671131355
430,18,85.0,Upper Lip Raise,0.43464356927914494
110,18,85.0,Surprise,0.38608780379190605
206,18,85.0,Chin Raise,1.2902543531541153
46,18,85.0,Disgust,0.12381773090920056
398,18,85.0,Smile,0.3073152414759808
318,18,85.0,Lip Pucker,1.2866404064174404
